Passage;Question;Answer_1;Answer_2;Label_1;Label_2;Label_1_no_ft;Label_2_no_ft;Label_1_directive;Label_2_directive;Label_1_legends;Label_2_legends
Directive 2022/2381 requires that at least 40% of non-executive directors in listed companies belong to the underrepresented sex.;What is the minimum percentage for the underrepresented sex on boards?;40%;25%;1;0;1;0;1;0;1;0
According to the directive, Member States must adopt sanctions in case of non-compliance.;What happens if a company does not comply?;Sanctions are imposed.;Legal action may be initiated.;1;1;1;1;1;1;1;1
The directive applies to companies listed on regulated EU markets.;Which companies does the directive apply to?;Small unlisted companies.;Listed companies.;0;1;0;1;0;1;0;1
Member States must ensure that selection procedures are transparent and based on clear criteria.;What is a requirement for selection procedures?;They must be transparent.;They must be merit-based.;1;1;1;1;1;1;1;1
If two candidates have equal qualifications, the person of the underrepresented sex must be favored.;Who is favored in case of equal qualifications?;The candidate of the underrepresented sex.;The less experienced candidate.;1;0;1;0;1;0;1;0
The directive requires the rules to be implemented by 2026.;What is the deadline for implementation?;2026.;2035.;1;0;1;0;1;0;1;0
Member States must periodically report to the European Commission on progress.;What must Member States do?;Send periodic reports.;Provide compliance statistics.;1;1;1;1;1;1;1;1
Companies that meet the target may still improve further.;What happens to compliant companies?;They can continue strengthening diversity.;They are excluded from the directive.;1;0;1;0;1;0;1;0
Failure to comply with the rules may negatively affect corporate reputation.;What is a consequence of non-compliance?;Reputational damage.;Financial penalties.;1;1;1;1;1;1;1;1
The directive promotes gender balance on boards to improve governance.;What is the main purpose of the directive?;Improve governance.;Enhance decision-making quality.;1;1;1;1;1;0;1;1
